date,temperature_max,temperature_min,temperature_mean,precipitation,rain,snowfall,city
2021-02-01,13.6,8.5,10.4,5.0,5.0,0.0,AIX-EN-PROVENCE
2021-02-02,15.4,5.4,10.2,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-03,15.6,7.0,11.1,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-04,15.4,6.5,10.3,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-05,15.6,9.7,12.0,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-06,15.2,10.3,12.0,0.5,0.5,0.0,AIX-EN-PROVENCE
2021-02-07,11.2,4.5,8.9,15.9,15.9,0.0,AIX-EN-PROVENCE
2021-02-08,11.3,2.2,6.9,6.0,6.0,0.0,AIX-EN-PROVENCE
2021-02-09,12.2,5.9,8.7,2.1,2.1,0.0,AIX-EN-PROVENCE
2021-02-10,13.2,5.5,9.3,2.1,2.1,0.0,AIX-EN-PROVENCE
2021-02-11,11.4,2.9,6.3,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-12,12.8,2.5,7.9,5.9,5.9,0.0,AIX-EN-PROVENCE
2021-02-13,9.3,0.7,6.0,2.1,2.1,0.0,AIX-EN-PROVENCE
2021-02-14,7.2,1.9,4.4,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-15,9.4,0.3,5.0,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-16,11.1,5.8,8.3,0.6,0.6,0.0,AIX-EN-PROVENCE
2021-02-17,15.2,5.5,9.8,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-18,13.2,5.1,9.0,0.2,0.2,0.0,AIX-EN-PROVENCE
2021-02-19,14.2,8.5,10.6,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-20,16.5,7.5,11.1,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-21,15.4,9.0,11.5,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-22,13.8,10.8,12.1,9.1,9.1,0.0,AIX-EN-PROVENCE
2021-02-23,17.8,8.4,12.8,2.6,2.6,0.0,AIX-EN-PROVENCE
2021-02-24,18.7,5.7,11.0,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-25,17.0,5.4,9.8,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-26,18.5,4.4,10.2,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-02-27,14.3,5.9,9.5,7.9,7.9,0.0,AIX-EN-PROVENCE
2021-02-28,17.8,7.1,10.9,3.7,3.7,0.0,AIX-EN-PROVENCE
2021-03-01,17.1,4.8,10.2,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-03-02,17.1,4.3,10.1,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-03-03,16.5,4.6,9.6,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-03-04,14.3,4.3,9.1,0.1,0.1,0.0,AIX-EN-PROVENCE
2021-03-05,16.4,6.9,10.8,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-03-06,14.9,5.9,10.0,10.8,10.8,0.0,AIX-EN-PROVENCE
2021-03-07,14.6,6.7,10.1,0.3,0.3,0.0,AIX-EN-PROVENCE
2021-03-08,15.3,4.8,9.6,0.8,0.8,0.0,AIX-EN-PROVENCE
2021-03-09,14.3,5.4,8.8,0.9,0.9,0.0,AIX-EN-PROVENCE
2021-03-10,14.8,1.4,7.9,0.0,0.0,0.0,AIX-EN-PROVENCE
2021-03-11,15.5,6.0,10.2,0.0,0.0,0.0,AIX-EN-PROVENCE
